Designator,Mid X,Mid Y,Rotation,Layer
_8,317.0,-168.0,0.0,top
_7,248.0,-200.0,0.0,top
_6,322.0,-200.0,0.0,top
_5,285.0,-163.0,0.0,top
_4,285.0,-237.0,0.0,top
_3,253.0,-168.0,0.0,top
_2,253.0,-232.0,0.0,top
,317.0,-232.0,0.0,top
SloBloLogo,285.0,-200.0,0.0,top
